"Species"	"Status"	"MinT"	"MaxT"	"Trait"
"SP_075"	"extinct"	4.2359225	4.2599225	1
"SP_075"	"extinct"	4.273015	4.297015	1
"SP_075"	"extinct"	4.310262	4.334262	1
"SP_075"	"extinct"	4.3669185	4.3909185	1
"SP_075"	"extinct"	4.42949	4.45349	1
"SP_075"	"extinct"	4.4823795	4.5063795	1
"SP_075"	"extinct"	4.534388	4.558388	1
"SP_075"	"extinct"	4.5785375	4.6025375	1
"SP_075"	"extinct"	4.612634	4.636634	1
"SP_075"	"extinct"	4.649512	4.673512	1
"SP_075"	"extinct"	4.6858485	4.7098485	1
"SP_075"	"extinct"	4.7153835	4.7393835	1
"SP_075"	"extinct"	4.7438765	4.7678765	1
"SP_075"	"extinct"	4.774172	4.798172	1
"SP_075"	"extinct"	4.802401	4.826401	1
"SP_075"	"extinct"	4.860209	4.884209	1
"SP_075"	"extinct"	4.983791	5.007791	1
"SP_075"	"extinct"	5.0438365	5.0678365	1
"SP_075"	"extinct"	5.1122375	5.1362375	1
"SP_075"	"extinct"	5.159798	5.183798	1
"SP_075"	"extinct"	5.2024665	5.2264665	1
"SP_075"	"extinct"	5.2492985	5.2732985	1
"SP_075"	"extinct"	5.292084	5.316084	1
"SP_075"	"extinct"	5.3194995	5.3434995	1
"SP_075"	"extinct"	5.342705	5.366705	1
"SP_075"	"extinct"	5.372114	5.396114	1
"SP_075"	"extinct"	5.4190225	5.4430225	1
"SP_075"	"extinct"	5.4595765	5.4835765	1
"SP_075"	"extinct"	5.50227	5.52627	1
"SP_075"	"extinct"	5.5435185	5.5675185	1
"SP_075"	"extinct"	5.5808565	5.6048565	1
"SP_075"	"extinct"	5.6153415	5.6393415	1
"SP_075"	"extinct"	5.6422795	5.6662795	1
"SP_075"	"extinct"	5.66852	5.69252	1
"SP_075"	"extinct"	5.6964265	5.7204265	1
"SP_075"	"extinct"	5.7258985	5.7498985	1
"SP_075"	"extinct"	5.7551055	5.7791055	1
"SP_075"	"extinct"	5.784153	5.808153	1
"SP_075"	"extinct"	5.810212	5.834212	1
"SP_075"	"extinct"	5.837619	5.861619	1
"SP_075"	"extinct"	5.872251	5.896251	1
"SP_075"	"extinct"	5.902877	5.926877	1
"SP_075"	"extinct"	5.93751	5.96151	1
"SP_075"	"extinct"	5.977856	6.001856	1
"SP_075"	"extinct"	6.012342	6.036342	1
"SP_075"	"extinct"	6.0447075	6.0687075	1
"SP_075"	"extinct"	6.0799405	6.1039405	1
"SP_075"	"extinct"	6.110341	6.134341	1
"SP_075"	"extinct"	6.1401215	6.1641215	1
"SP_075"	"extinct"	6.1708375	6.1948375	1
"SP_075"	"extinct"	6.2000705	6.2240705	1
"SP_075"	"extinct"	6.23105	6.25505	1
"SP_075"	"extinct"	6.2615595	6.2855595	1
"SP_075"	"extinct"	6.295531	6.319531	1
"SP_075"	"extinct"	6.335525	6.359525	1
"SP_075"	"extinct"	6.3701245	6.3941245	1
"SP_075"	"extinct"	6.4105215	6.4345215	1
"SP_075"	"extinct"	6.451597	6.475597	1
"SP_075"	"extinct"	6.491394	6.515394	1
"SP_075"	"extinct"	6.524375	6.548375	1
"SP_075"	"extinct"	6.5664415	6.5904415	1
"SP_075"	"extinct"	6.6157385	6.6397385	1
"SP_075"	"extinct"	6.662497	6.686497	1
"SP_075"	"extinct"	6.7065885	6.7305885	1
"SP_075"	"extinct"	6.748177	6.772177	1
"SP_075"	"extinct"	6.834869	6.858869	1
"SP_075"	"extinct"	6.929879	6.953879	1
"SP_075"	"extinct"	6.994171	7.018171	1
"SP_075"	"extinct"	7.0478165	7.0718165	1
"SP_075"	"extinct"	7.105987	7.129987	1
"SP_075"	"extinct"	7.171409	7.195409	1
